Date,Price,Open,High,Low,Volume,Change %
12/2/2022,47531.84,47565.92,47572.78,47529.93,155.18,-0.07
12/1/2022,49626.05,49695.12,49703.85,49626.05,86.59,-0.14
11/30/2022,49664.07,50017.51,50017.51,49371.37,272.07,-0.7
11/29/2022,52917.76,52844.84,53069.29,52843.48,426.02,0.15
11/28/2022,47205.03,46872.25,47231.66,46872.25,245.42,0.72
11/25/2022,44608.82,43859.3,44609.24,43858.36,266.31,1.71
11/24/2022,46604.94,46232.6,46604.94,46188.7,138.6,0.81
11/23/2022,46232.37,44934.73,46232.37,44899.66,185.59,2.9
11/22/2022,44929.33,44662.96,44976.21,44662.96,126.08,0.51
11/21/2022,44701.84,44492.73,44701.84,44492.73,159.56,0.47
11/18/2022,44492.73,44011.22,44492.73,44001.7,146.68,1.09
11/17/2022,44011.22,44046.94,44052.82,43969.57,97.7,-0.09
11/16/2022,44050.44,43808.25,44050.44,43808.25,159.43,0.55
11/15/2022,43808.25,43818.12,43857.81,43788.18,103.42,-0.02
11/14/2022,43818.12,43956.76,43956.76,43770.82,187.08,-0.34
11/11/2022,43968.75,43943.46,43994.65,43924.32,209.71,0.06
11/10/2022,47565.92,47351.43,47664.66,47195.25,125.65,0.45
11/8/2022,50014.6,50075.47,50256.83,50009.12,133.59,-0.12
11/5/2022,52838.45,51805.41,53064.58,51805.41,417.26,1.99
11/4/2022,46867.95,46631.46,46871.63,46624.78,224.63,0.51
11/3/2022,47437.48,47363.98,47437.48,47234.26,1150,0.16
11/2/2022,47202.3,47286.34,47301.44,47129.45,311.49,-0.18
11/1/2022,43859.3,43897.13,44083.08,43855.54,294.54,-0.09
10/31/2022,43839.08,43910.65,43912.82,43650.2,160.91,-0.17
10/28/2022,43912.64,44625.18,44625.18,43671.26,122.79,-1.6
10/27/2022,44625.18,44859.78,44883.39,44615.15,150.97,-0.52
10/26/2022,44859.78,44788.14,44887.55,44767.49,93.51,0.16
10/25/2022,44788.14,44461.63,44824.37,44266.04,159.21,0.73
10/24/2022,44461.63,44396.73,44491.61,44368.24,72.32,0.15
10/21/2022,44396.73,44332.21,44403.55,44332.21,95.08,0.15
10/20/2022,44332.21,44318.15,44341.65,44294.21,119.22,0.03
10/19/2022,44318.15,45366.32,45505.22,44302.24,165.35,-2.31
10/18/2022,45366.32,46365.95,46365.95,44937.92,420.16,-2.16
10/17/2022,46365.95,47569.04,47588.29,46343.39,137.88,-2.53
10/14/2022,47569.04,47524.38,47579.14,47428.96,124.41,0.09
10/13/2022,47524.38,47531.84,47550.47,47486.8,86.54,-0.02
10/11/2022,43942.82,43477.48,44287.55,43393.2,404.99,1.07
10/8/2022,50075.47,49350.71,50127.02,49337.73,279.22,1.47
10/6/2022,53201.38,53170.73,53201.38,53136.98,273.24,0.06
10/5/2022,51805.41,51902.48,51902.48,51562.68,331.35,-0.19
10/3/2022,47363.98,47287.09,47383.77,47180.59,261.56,0.16
10/2/2022,47286.34,47157.23,47286.34,47154.06,198.08,0.27
10/1/2022,43897.13,43854.42,44345.64,43854.42,310.9,0.1
9/30/2022,49024.16,48967.56,49024.16,48945.43,356.73,0.12
9/29/2022,48964.83,49171.7,49218.17,48947.91,220.78,-0.42
9/28/2022,49171.7,49161.45,49258.73,49119.51,101.57,0.02
9/27/2022,49161.45,49189.32,49223.31,49154.5,206.2,-0.12
9/26/2022,49218.35,49053.91,49226.12,49053.91,119.28,0.39
9/23/2022,49026.62,49190.34,49309.63,48994.15,169.18,-0.33
9/22/2022,49190.34,49421.91,49424.82,49164.75,126.74,-0.47
9/21/2022,49421.91,49446.18,49455.99,49318.55,51.88,-0.05
9/20/2022,49445.31,49440.21,49446.01,49378.93,147.59,0.01
9/19/2022,49440.21,49475.42,49479.45,49400.12,67.37,-0.07
9/16/2022,49475.42,49540.48,49543.81,49470.28,107.49,-0.13
9/15/2022,49540.48,49578.83,49579.34,49534.65,167.6,-0.07
9/14/2022,49576.05,49627.72,49637.12,49573.6,197.26,-0.1
9/13/2022,49627.72,49625.71,49655.34,49612.4,147.46,0
9/11/2022,43477.48,43461.6,44071.41,43448.58,133.4,0.04
9/9/2022,49695.12,49652.25,49697.61,49652.25,319.09,0.09
9/8/2022,49350.71,50489.73,50489.73,49342.6,140.58,-2.26
9/6/2022,53170.73,53183.99,53206.08,53166.01,318.42,-0.04
9/5/2022,51903.44,50935.79,51956.75,50922.91,337.43,1.9
9/3/2022,47287.09,47154.35,47292.91,47129.66,336.3,0.28
9/2/2022,47157.23,47057.24,47157.23,47057.24,297,0.21
8/31/2022,49836.51,49642.69,49836.51,49642.69,367.34,0.39
8/30/2022,49642.69,49676.75,49682.93,49625.32,125.95,-0.07
8/29/2022,49676.75,49682.15,49686.95,49624.28,232.94,-0.01
8/26/2022,49682.15,49661.87,49728.46,49628.73,193.51,0.04
8/25/2022,49661.87,48675.24,49662.09,48670.87,226.47,2.03
8/24/2022,48675.33,48554.76,48681,48554.76,167.57,0.22
8/23/2022,48567.14,49344.67,49344.67,48511.58,204.15,-1.58
8/22/2022,49346.4,49370.62,49381.15,49334.23,122.73,-0.05
8/19/2022,49370.62,49395.43,49432.87,49367.26,132.2,-0.35
8/18/2022,49546.38,49691.17,49694.34,49487.74,146.99,-0.29
8/17/2022,49691.17,49709.46,49712.96,49681.24,128.79,-0.04
8/16/2022,49709.46,49629.43,49737.86,49629.43,204.16,0.1
8/15/2022,49657.33,49664.07,49724.7,49373.13,210.83,-0.01
8/11/2022,43461.6,44269.43,44293.1,43439.72,249.91,-1.82
8/9/2022,49652.25,49599.73,49658.07,49577.38,161.88,0.03
8/8/2022,50489.73,50722.33,50740.18,50489.07,207.2,-0.46
8/7/2022,51557.41,51563.73,51581.17,51546.84,115.13,-0.01
8/6/2022,53193.98,53270.88,53270.88,53190.75,248.94,-0.14
8/4/2022,46631.46,46543.51,46631.46,46542.14,154.1,0.19
8/3/2022,47154.35,47262.61,47283.62,47122.34,754.93,-0.23
8/2/2022,47057.24,47203.39,47203.39,47037.24,238.22,-0.31
7/29/2022,50370.25,49702.07,50370.25,49687.77,243.29,1.42
7/28/2022,49667.14,50182.73,50182.73,49603.12,206.21,-1.04
7/27/2022,50188.55,50442.37,50447.87,50163.4,192.41,-0.5
7/26/2022,50442.37,51400.53,51405.6,50409.9,156.17,-1.86
7/25/2022,51400.53,51979.92,51979.92,51327.74,98.75,-1.11
7/22/2022,51979.92,52122,52129.19,51979.92,205.06,-0.27
7/21/2022,52122,52186.52,52204.52,52098.87,151.94,-0.12
7/20/2022,52186.52,52308.88,52310.53,52142.18,238.27,-0.23
7/19/2022,52308.88,52319.94,52333.28,52250.79,205.6,-0.02
7/18/2022,52319.94,52215.12,52510.17,52215.12,116.28,0.2
7/15/2022,52215.12,51339.01,52542.93,51330.29,190.1,1.71
7/14/2022,51338.27,51390.25,51390.25,51304.74,115.25,-0.44
7/14/2022,51567.69,51557.41,51584.83,51507.55,198.79,0.02
7/11/2022,44269.43,44269.18,44272.07,44217.38,103.26,0
7/10/2022,47351.43,47260.89,47351.62,47257.3,137.28,0.19
7/9/2022,49635.76,49644.92,49654.72,49616.03,128.94,-0.02
7/7/2022,51563.73,51556.54,51570.71,51530.4,143.28,0.01
7/6/2022,53270.88,53086.46,53276.66,53046.72,234.62,0.35
7/4/2022,46543.51,46771.62,46806.53,46524.68,244.02,-0.48
7/3/2022,47262.61,47268.61,47309.8,47223.94,291.88,-0.01
7/2/2022,47203.39,47279.92,47324.09,47198.42,285.47,-0.16
7/1/2022,43854.42,43605.21,43857.6,43605.21,395.15,0.57
6/30/2022,51817.59,51802.48,51991.27,51759.56,223.1,0.03
6/29/2022,51802.48,51803.98,51810.45,51789.9,416.47,0
6/28/2022,51803.98,51962.85,51975.06,51779.76,314.6,-0.31
6/27/2022,51962.85,51705.61,51986.94,51703.49,266.51,0.5
6/24/2022,51705.61,51618.73,51708.52,51618.73,156.09,0.17
6/23/2022,51618.73,51377.21,51740.21,51375.06,223.25,0.47
6/22/2022,51377.21,51093.23,51377.21,50628.4,229.26,0.56
6/21/2022,51091.75,50755.98,51213.17,50532.29,166.96,0.66
6/20/2022,50756.74,51778.08,51804.21,50750.6,196.26,-1.97
6/17/2022,51778.08,52411.09,52451.43,51755.18,241.19,-1.21
6/16/2022,52411.09,52775.4,52783.52,52374.04,211.61,-0.69
6/15/2022,52775.4,53113.64,53113.64,52773.2,188.09,-0.64
6/14/2022,53114.65,53201.38,53202.13,53097.77,299.81,-0.16
6/10/2022,47260.89,48836.7,48890.97,47238.35,140.66,-3.23
6/9/2022,49644.92,49991.41,49994.14,49639.64,138.94,-0.69
6/7/2022,51556.54,51586.5,51612.97,51553.86,135.26,-0.06
6/6/2022,53086.86,52908.24,53090.16,52889.13,755.62,0.34
6/5/2022,50937.01,50838.1,50993.59,50838.1,466.28,0.2
6/4/2022,46766.16,46775.76,46785.41,46751.63,261.59,-0.02
6/1/2022,43607.94,43476.75,43607.94,43145.77,174.61,0.3
5/31/2022,53637.14,53772.14,53787.3,53608.72,318.27,-0.25
5/30/2022,53772.35,54085.3,54085.3,53735.83,227.55,-0.58
5/27/2022,54085.3,53151.32,54290.84,53151.32,208.08,1.76
5/26/2022,53151.32,52591.41,53161.43,52587.01,266.18,1.06
5/25/2022,52591.41,51949.64,52594.84,51574.46,382.45,1.24
5/24/2022,51949.64,52911.51,52911.51,51940.57,720.12,-1.82
5/23/2022,52911.51,52979.96,53009.5,52909.1,263.24,-0.13
5/20/2022,52979.96,53275.49,53774.61,52951.38,436.56,-0.55
5/19/2022,53275.49,52721.34,53281.31,52717.88,274.41,1.05
5/18/2022,52721.34,52756.62,52793.13,52721.34,611.83,-0.07
5/17/2022,52756.62,52944.44,52950.34,52756.62,552.47,-0.36
